iter	Passed	Remaining
455	878	76216
456	880	76193
457	882	76172
458	884	76154
459	885	76141
460	887	76117
461	889	76097
462	890	76072
463	892	76043
464	894	76022
465	895	75998
466	897	75980
467	898	75930
468	900	75875
469	901	75859
470	903	75842
471	905	75827
472	907	75809
473	908	75730
474	909	75717
475	911	75700
476	913	75676
477	915	75657
478	916	75644
479	918	75621
480	919	75527
481	920	75505
482	922	75483
483	924	75467
484	926	75449
485	927	75426
486	929	75408
487	930	75359
488	932	75344
489	934	75332
490	936	75319
491	937	75301
492	939	75294
493	941	75277
494	942	75256
495	944	75232
496	946	75208
497	947	75191
498	949	75173
499	951	75157
500	953	75140
501	954	75124
502	956	75097
503	958	75077
504	959	75061
505	961	75041
506	963	75020
507	964	74970
508	966	74954
509	967	74901
510	969	74886
511	970	74839
512	972	74826
513	974	74833
514	975	74821
515	977	74804
516	979	74806
517	981	74832
518	983	74815
519	985	74800
520	987	74790
521	988	74777
522	990	74769
523	992	74750
524	993	74724
525	995	74718
526	997	74704
527	999	74699
528	1000	74685
529	1002	74672
530	1004	74663
531	1005	74567
532	1006	74552
533	1007	74487
534	1009	74471
535	1011	74454
536	1013	74444
537	1014	74431
538	1016	74425
539	1018	74409
540	1020	74399
541	1021	74390
542	1023	74373
543	1025	74349
544	1026	74338
545	1028	74317
546	1029	74235
547	1030	74157
548	1031	74149
549	1033	74115
550	1034	74099
551	1036	74087
552	1038	74076
553	1040	74066
554	1041	74055
555	1043	74044
556	1045	74033
557	1047	74027
558	1049	74016
559	1050	74001
560	1052	73991
561	1053	73900
562	1054	73892
563	1056	73883
564	1058	73862
565	1059	73850
566	1061	73831
567	1062	73786
568	1064	73748
569	1065	73685
570	1066	73644
571	1068	73632
572	1069	73616
573	1071	73603
574	1073	73602
575	1075	73594
576	1077	73586
577	1078	73574
578	1080	73565
579	1081	73502
580	1083	73490
581	1084	73482
582	1086	73467
583	1088	73452
584	1089	73434
585	1091	73427
586	1093	73411
587	1094	73349
588	1096	73343
589	1097	73325
590	1099	73310
591	1101	73290
592	1102	73284
593	1104	73270
594	1106	73261
595	1107	73249
596	1109	73232
597	1111	73220
598	1112	73207
599	1114	73168
600	1115	73158
601	1117	73163
602	1119	73149
603	1121	73135
604	1123	73130
605	1124	73120
606	1126	73112
607	1128	73099
608	1130	73092
609	1131	73087
610	1133	73077
611	1135	73066
612	1136	73010
613	1138	73003
614	1139	72988
615	1140	72934
616	1142	72921
617	1144	72923
618	1146	72915
619	1147	72902
620	1149	72891
621	1150	72854
622	1152	72846
623	1154	72833
624	1155	72822
625	1157	72820
626	1159	72806
627	1161	72795
628	1162	72784
629	1164	72772
630	1166	72759
631	1167	72749
632	1169	72743
633	1172	72805
634	1174	72791
635	1175	72781
636	1177	72791
637	1179	72780
638	1181	72775
639	1182	72703
640	1183	72692
641	1185	72687
642	1187	72674
643	1189	72673
644	1190	72665
645	1191	72602
646	1193	72596
647	1195	72583
648	1197	72580
649	1198	72574
650	1200	72564
651	1202	72552
652	1202	72485
653	1204	72473
654	1206	72466
655	1208	72456
656	1209	72445
657	1211	72436
658	1213	72422
659	1214	72411
660	1215	72358
661	1217	72350
662	1219	72345
663	1221	72336
664	1222	72325
665	1223	72260
666	1225	72249
667	1226	72240
668	1227	72165
669	1229	72158
670	1231	72154
671	1232	72148
672	1234	72143
673	1236	72133
674	1238	72129
675	1239	72128
676	1241	72118
677	1243	72107
678	1245	72104
679	1246	72100
680	1248	72092
681	1250	72086
682	1252	72081
683	1253	72068
684	1255	72057
685	1257	72045
686	1258	72037
687	1259	71970
688	1261	71955
689	1262	71945
690	1263	71895
691	1265	71884
